"Title,URL,""Downloaded (date)"",""Downloaded (UTC)"",Views,Overall,""Overall Issues"""
"Inngang til pakkeforløp for nevroendokrine svulster - Helsedirektoratet,https://www.helsedirektoratet.no/nasjonale-forlop/nevroendokrine-svulster/inngang-til-pakkeforlop-for-nevroendokrine-svulster,""7 Mar 2026"",02:40:52,12,78,137"
"Spesielle situasjoner - Helsedirektoratet,https://www.helsedirektoratet.no/retningslinjer/thyroideakreft-skjoldbruskkjertelkreft-handlingsprogram/spesielle-situasjoner,""7 Mar 2026"",02:44:48,12,80.5,79"
"Finansiering og egenbetaling (under arbeid) - Helsedirektoratet,https://www.helsedirektoratet.no/rundskriv/helse-og-omsorgstjenesteloven-med-kommentarer/finansiering-og-egenbetaling-under-arbeid,""7 Mar 2026"",03:32:22,12,78.3,87"
"Forebygging av overdoser som skyldes reseptbelagte legemidler - Helsedirektoratet,https://www.helsedirektoratet.no/rapporter/handlingsplan-mot-overdoser/forebygging-av-overdoser-som-skyldes-reseptbelagte-legemidler,""7 Mar 2026"",04:01:20,12,75.1,127"
"Samtykke fra avdøde og nærmeste pårørende - Helsedirektoratet,https://www.helsedirektoratet.no/rundskriv/donasjon-av-organer-celler-og-vev-fra-dod-donor/samtykke-fra-avdode-og-naermeste-parorende,""7 Mar 2026"",04:12:56,12,80.8,64"
"Ikrafttredelse og endring av andre forskrifter - Helsedirektoratet,https://www.helsedirektoratet.no/veiledere/rekvirering-og-utlevering-av-legemidler-m.m/ikrafttredelse-og-endring-av-andre-forskrifter,""7 Mar 2026"",04:10:51,12,78.8,70"
"Sammendrag av anbefalingene - Helsedirektoratet,https://www.helsedirektoratet.no/retningslinjer/levercellekreft-hepatocellulaert-karsinom-hcc--handlingsprogram/sammendrag-av-anbefalingene,""7 Mar 2026"",05:21:27,12,81.5,254"
"Medienes fotografering, filming og lydopptak - Helsedirektoratet,https://www.helsedirektoratet.no/rundskriv/bilder-film-og-lydopptak-i-helse-og-omsorgstjenesten/medienes-fotografering-filming-og-lydopptak,""7 Mar 2026"",05:19:42,12,83.1,73"
"Overordnet vurdering av EHDS i norsk kontekst - Helsedirektoratet,https://www.helsedirektoratet.no/rapporter/ehds-konsekvensvurdering--gapanalyse-pr.11.april-2025/overordnet-vurdering-av-ehds-i-norsk-kontekst,""7 Mar 2026"",06:02:15,12,74.8,196"
"Fleksibilitet i kontrakter og forbudet mot vesentlige endringer - Helsedirektoratet,https://www.helsedirektoratet.no/rapporter/relasjonskontrakter-og-anskaffelsesregelverket/fleksibilitet-i-kontrakter-og-forbudet-mot-vesentlige-endringer,""7 Mar 2026"",07:56:07,12,74,311"
"Behandling av lokalisert sykdom og kurativ behandling - Helsedirektoratet,https://www.helsedirektoratet.no/retningslinjer/hjernesvulster-generelt-hos-voksne-handlingsprogram/behandling-av-lokalisert-sykdom-og-kurativ-behandling,""7 Mar 2026"",08:03:20,12,79,72"
"Rituximab/anti-CD-20 antistoffer – administrasjon, profylakse og sekundær immunsvikt - Helsedirektoratet,https://www.helsedirektoratet.no/retningslinjer/lymfekreft-handlingsprogram/rituximab-anti-cd-20-antistoffer--administrasjon-profylakse-og-sekundaer-immunsvikt,""7 Mar 2026"",09:00:23,12,78.1,223"
"Overblikk på utviklingen i IKT-ressursinnsats - Helsedirektoratet,https://www.helsedirektoratet.no/rapporter/ressursbruk-pa-ikt-i-helseregionene-og-nasjonale-virksomheter-20222023/overblikk-pa-utviklingen-i-ikt-ressursinnsats,""7 Mar 2026"",08:57:13,12,75.6,115"
"Om veileder risikostyring for informasjonssikkerhet og personvern - Helsedirektoratet,https://www.helsedirektoratet.no/normen/risikostyring-for-informasjonssikkerhet-og-personvern/om-veileder-risikostyring-for-informasjonssikkerhet-og-personvern,""7 Mar 2026"",09:03:09,12,76.6,127"
"Vurderinger av kostnader av skolemåltid - Helsedirektoratet,https://www.helsedirektoratet.no/rapporter/skolemaltid-i-norge-kunnskapsgrunnlag-nytte-kostnadsvirkninger-og-implementering/vurderinger-av-kostnader-av-skolemaltid,""7 Mar 2026"",09:31:40,12,78.3,213"
"Krav til et medisinsk kvalitetsregister med nasjonal status - Helsedirektoratet,https://www.helsedirektoratet.no/veiledere/godkjenning-av-medisinske-kvalitetsregistre-for-nasjonal-status/krav-til-et-medisinsk-kvalitetsregister-med-nasjonal-status,""7 Mar 2026"",09:46:08,12,78.2,88"
"Digital legemiddelhåndtering i kommunal helse- og omsorgssektor - Helsedirektoratet,https://www.helsedirektoratet.no/digitalisering-og-e-helse/plan-for-digitalisering-pa-legemiddelomradet/digital-legemiddelhandtering-i-kommunal-helse-og-omsorgssektor,""7 Mar 2026"",09:46:53,12,77.9,75"
"Implementering og monitorering av skolemåltid - Helsedirektoratet,https://www.helsedirektoratet.no/rapporter/skolemaltid-i-norge-kunnskapsgrunnlag-nytte-kostnadsvirkninger-og-implementering/implementering-og-monitorering-av-skolemaltid,""7 Mar 2026"",10:01:01,12,74,306"
"Oppsummert - Helsedirektoratet,https://www.helsedirektoratet.no/retningslinjer/melanomer-handlingsprogram/epidemiologi/oppsummert,""6 Mar 2026"",23:23:03,12,79.6,100"
"Stadier - Helsedirektoratet,https://www.helsedirektoratet.no/retningslinjer/gynekologisk-kreft--handlingsprogram/vulvacancer/stadier,""6 Mar 2026"",23:56:36,12,80.2,145"
"Bakgrunn - Helsedirektoratet,https://www.helsedirektoratet.no/retningslinjer/gynekologisk-kreft--handlingsprogram/vulvacancer/bakgrunn,""7 Mar 2026"",00:01:14,12,80.8,212"
"Sjekkliste for sikkerhet - Helsedirektoratet,https://www.helsedirektoratet.no/normen/sma-helsevirksomheter/styring-og-kontroll/sjekkliste-for-sikkerhet,""7 Mar 2026"",00:11:17,12,84.2,70"
"Bruk av snus - Helsedirektoratet,https://www.helsedirektoratet.no/rapporter/tal-om-tobakk/bruk-av-tobakksprodukt-og-e-sigarettar/bruk-av-snus,""7 Mar 2026"",00:27:11,12,83.2,82"
"Statusmeldinger - Helsedirektoratet,https://www.helsedirektoratet.no/veiledere/nodnett-i-helsetjenesten/operativ-bruk-av-nodnett/statusmeldinger,""7 Mar 2026"",00:26:33,12,81,107"
"Ansvar - Helsedirektoratet,https://www.helsedirektoratet.no/retningslinjer/palliasjon-i-kreftomsorgen-handlingsprogram/organisering/ansvar,""7 Mar 2026"",00:44:51,12,79.4,125"
"Behandling - Helsedirektoratet,https://www.helsedirektoratet.no/retningslinjer/gynekologisk-kreft--handlingsprogram/trofoblastsykdom/behandling,""7 Mar 2026"",00:49:47,12,80.1,253"
"§ 4-8. - Helsedirektoratet,https://www.helsedirektoratet.no/rundskriv/alkoholforskriften-med-kommentarer/kapittel-4-saerlig-om-skjenking/-4-8,""7 Mar 2026"",01:02:23,12,76.2,58"
"Vedlegg 10 - Inntak av næringsstoffer uten kosttilskudd - Helsedirektoratet,https://www.helsedirektoratet.no/rapporter/norkost-4/vedlegg/vedlegg-10-inntak-av-naeringsstoffer-uten-kosttilskudd,""7 Mar 2026"",01:11:03,12,77.1,87"
"Stadieinndeling (TNM 8) - Helsedirektoratet,https://www.helsedirektoratet.no/retningslinjer/hode-hals-kreft-handlingsprogram/nese-bihuler/stadieinndeling-tnm-8,""7 Mar 2026"",01:13:55,12,81,161"
"Mucosale melanomer - Helsedirektoratet,https://www.helsedirektoratet.no/retningslinjer/hode-hals-kreft-handlingsprogram/sjeldne-svulster/mucosale-melanomer,""7 Mar 2026"",01:20:40,12,79.6,254"
"En manisk episode - Helsedirektoratet,https://www.helsedirektoratet.no/veiledere/forerkortveileder/psykiske-lidelser-og-svekkelser-33-34/en-manisk-episode,""7 Mar 2026"",01:22:25,12,87.8,50"
"Malaria, alvorlig - Helsedirektoratet,https://www.helsedirektoratet.no/retningslinjer/antibiotika-i-sykehus/importerte-infeksjonssykdommer/malaria-alvorlig,""7 Mar 2026"",01:30:30,12,80.6,120"
"Vurdere motivasjon - Helsedirektoratet,https://www.helsedirektoratet.no/retningslinjer/roykeavvenning/strukturert-hjelp-til-roykeavvenning/vurdere-motivasjon,""7 Mar 2026"",01:37:23,12,82.4,82"
"Lungekreft - Helsedirektoratet,https://www.helsedirektoratet.no/nasjonale-forlop/pakkeforlop-for-kreft-diagnoseveiledere/diagnoseveiledere/lungekreft,""7 Mar 2026"",01:40:13,12,81.5,74"
"Fagspesifikk innledning - plastikkirurgi - Helsedirektoratet,https://www.helsedirektoratet.no/veiledere/prioriteringsveiledere/plastikkirurgi/fagspesifikk-innledning-plastikkirurgi,""7 Mar 2026"",01:51:00,12,81.8,90"
"Utdeling - Helsedirektoratet,https://www.helsedirektoratet.no/rundskriv/legemiddelhandtering/istandgjoring-og-utdeling-av-legemidler--7-og-8/utdeling,""7 Mar 2026"",01:56:24,12,80.3,90"
"Epiglotitt - Helsedirektoratet,https://www.helsedirektoratet.no/retningslinjer/antibiotika-i-sykehus/infeksjoner-i-ore-nese-hals-tann-og-kjeve/epiglotitt,""7 Mar 2026"",02:15:36,12,80.9,219"
"Metastatisk non-seminom - Helsedirektoratet,https://www.helsedirektoratet.no/retningslinjer/testikkelkreft-handlingsprogram/metastatisk-sykdom/metastatisk-non-seminom,""7 Mar 2026"",02:14:38,12,78.5,288"
"Evaluering av behandling - Helsedirektoratet,https://www.helsedirektoratet.no/nasjonale-forlop/psykiske-lidelser-voksne/behandling-og-oppfolging/evaluering-av-behandling,""7 Mar 2026"",02:35:04,12,81.6,72"
"Patologi - Helsedirektoratet,https://www.helsedirektoratet.no/retningslinjer/lungekreft-mesoteliom-og-thymom-handlingsprogram/thymus-svulster-c37/patologi,""7 Mar 2026"",02:39:46,12,79.5,120"
"Miljørettet helsevern - Helsedirektoratet,https://www.helsedirektoratet.no/rapporter/sektorrapport-om-folkehelse/trygge-og-helsefremmende-miljoer/miljorettet-helsevern,""7 Mar 2026"",02:45:13,12,77.3,250"
"Histopatologi - Helsedirektoratet,https://www.helsedirektoratet.no/retningslinjer/gynekologisk-kreft--handlingsprogram/borderline-ovarialtumor-bot/histopatologi,""7 Mar 2026"",02:48:10,12,79.2,147"
"Sykdomskravet ved sykmelding: Pasientinformasjon - Helsedirektoratet,https://www.helsedirektoratet.no/veiledere/sykmelderveileder/pasientinformasjon/sykdomskravet-ved-sykmelding-pasientinformasjon,""7 Mar 2026"",02:57:08,12,75.2,100"
"Fastlegens rolle - Helsedirektoratet,https://www.helsedirektoratet.no/retningslinjer/meningeomer-hos-voksne-handlingsprogram/oppfolging-og-kontroll/fastlegens-rolle,""7 Mar 2026"",02:57:41,12,80.5,103"
"§ 4-7. Beslag - Helsedirektoratet,https://www.helsedirektoratet.no/rundskriv/psykisk-helsevernloven-med-kommentarer/gjennomforing-av-psykisk-helsevern/4-7-beslag,""7 Mar 2026"",03:01:57,12,69.9,72"
"Tverrfaglig team (Multidisiplinært team) - Helsedirektoratet,https://www.helsedirektoratet.no/retningslinjer/prostatakreft-handlingsprogram/innledning/tverrfaglig-team-multidisiplinaert-team,""7 Mar 2026"",03:22:17,12,80.5,88"
"Histologi - Helsedirektoratet,https://www.helsedirektoratet.no/retningslinjer/gynekologisk-kreft--handlingsprogram/vulvar-intraepitelial-neoplasi-vin/histologi,""7 Mar 2026"",03:26:29,12,80.6,180"
"Samtykke - Helsedirektoratet,https://www.helsedirektoratet.no/retningslinjer/spiseforstyrrelser/rettslig-grunnlag-ved-behandling-av-spiseforstyrrelser/samtykke,""7 Mar 2026"",03:34:08,12,83.7,68"
"Symptomer og funn - Helsedirektoratet,https://www.helsedirektoratet.no/retningslinjer/meningeomer-hos-voksne-handlingsprogram/diagnostikk-og-utredning/symptomer-og-funn,""7 Mar 2026"",03:35:43,12,80.1,146"
"Klinisk kjemiske undersøkelser - Helsedirektoratet,https://www.helsedirektoratet.no/retningslinjer/lymfekreft-handlingsprogram/diagnostikk-og-utredning/klinisk-kjemiske-undersokelser,""7 Mar 2026"",03:46:56,12,81,158"
"Kostfiber - Helsedirektoratet,https://www.helsedirektoratet.no/rapporter/utviklingen-i-norsk-kosthold-2023/kostens-innhold-av-energi-og-naeringsstoffer/kostfiber,""7 Mar 2026"",03:48:13,12,84.5,72"
"Kan min organisasjon søke midler eller delta i prosjekter? - Helsedirektoratet,https://www.helsedirektoratet.no/om-oss/internasjonalt-samarbeid/eu4health/kan-min-organisasjon-soke-midler-eller-delta-i-prosjekter,""7 Mar 2026"",03:51:00,12,75.2,98"
"Eksempler på innhold i elektronisk pasientkommunikasjon - Helsedirektoratet,https://www.helsedirektoratet.no/normen/digital-pasientkommunikasjon/vedlegg/eksempler-pa-innhold-i-elektronisk-pasientkommunikasjon,""7 Mar 2026"",03:53:53,12,76.7,84"
"Årlige kontroller i allmennpraksis - Helsedirektoratet,https://www.helsedirektoratet.no/retningslinjer/lymfekreft-handlingsprogram/lymfom-i-allmennpraksis/arlige-kontroller-i-allmennpraksis,""7 Mar 2026"",04:19:44,12,80.9,175"
"Behandlingshjelpemidler - Helsedirektoratet,https://www.helsedirektoratet.no/retningslinjer/palliasjon-i-kreftomsorgen-handlingsprogram/okonomiske-ytelser/behandlingshjelpemidler,""7 Mar 2026"",04:16:43,12,79.9,100"
"Onkologisk behandling - Helsedirektoratet,https://www.helsedirektoratet.no/retningslinjer/lungekreft-mesoteliom-og-thymom-handlingsprogram/thymus-svulster-c37/onkologisk-behandling,""7 Mar 2026"",05:04:27,12,80,252"
"Tapte leveår ved selvmord for personer i PHV/TSB - Helsedirektoratet,https://www.helsedirektoratet.no/statistikk/kvalitetsindikatorer/psykisk-helse-for-voksne/tapte-levear-ved-selvmord-for-personer-i-phv-tsb,""7 Mar 2026"",05:07:40,12,67.2,123"
"Hensynet til barnets beste - Helsedirektoratet,https://www.helsedirektoratet.no/rundskriv/bilder-film-og-lydopptak-i-helse-og-omsorgstjenesten/rettslige-rammer/hensynet-til-barnets-beste,""7 Mar 2026"",05:19:55,12,83.8,64"
"Øyeblikkelig hjelp - Helsedirektoratet,https://www.helsedirektoratet.no/retningslinjer/spiseforstyrrelser/rettslig-grunnlag-ved-behandling-av-spiseforstyrrelser/oyeblikkelig-hjelp,""7 Mar 2026"",05:43:25,12,82.6,71"
"Utredning og klassifikasjon av cancer i urethra - Helsedirektoratet,https://www.helsedirektoratet.no/retningslinjer/blaerekreft-handlingsprogram/diagnostisering/utredning-og-klassifikasjon-av-cancer-i-urethra,""7 Mar 2026"",05:31:24,12,75,259"
"Strålebehandlingsteknikker - Helsedirektoratet,https://www.helsedirektoratet.no/retningslinjer/analkreft-handlingsprogram/kurativ-behandling-av-lokalisert-sykdom/stralebehandlingsteknikker,""7 Mar 2026"",05:51:55,12,80.8,210"
"Oppfølging og prognose - Helsedirektoratet,https://www.helsedirektoratet.no/retningslinjer/nevroendokrine-svulster-i-fordoyelsessystemet-handlingsprogram/pankreas/oppfolging-og-prognose,""7 Mar 2026"",06:09:11,12,80.2,146"
"Formålet med kreftbehandlings¬programmet SWENOTECA X - Helsedirektoratet,https://www.helsedirektoratet.no/retningslinjer/testikkelkreft-handlingsprogram/innledning/formalet-med-kreftbehandlingsprogrammet-swenoteca-x,""7 Mar 2026"",06:11:41,12,75.2,163"
"Kompetansenettverk av andre faggrupper - Helsedirektoratet,https://www.helsedirektoratet.no/retningslinjer/palliasjon-i-kreftomsorgen-handlingsprogram/organisering/kompetansenettverk-av-andre-faggrupper,""7 Mar 2026"",06:20:09,12,81.5,85"
"Hjerneslag - Trombolysebehandling av hjerneinfarkt innen 40 minutter - Helsedirektoratet,https://www.helsedirektoratet.no/statistikk/kvalitetsindikatorer/hjerte-og-karsykdommer/trombolysebehandling-av-hjerneinfarkt-innen-40-minutter,""7 Mar 2026"",06:15:47,12,67.9,102"
"Pakkeforløp for kreft – diagnoseveiledere - Helsedirektoratet,https://www.helsedirektoratet.no/veiledere/henvisningsveileder/innhold-spesifisert-pa-tilstandertjenester/pakkeforlop-for-kreft-diagnoseveiledere,""7 Mar 2026"",06:39:04,12,75.9,73"
"Antibiotikabehandling ved luftveisinfeksjon hos barn mellom 0-9 år - Helsedirektoratet,https://www.helsedirektoratet.no/statistikk/kvalitetsindikatorer/legemidler/antibiotikabehandling-ved-luftveisinfeksjon-hos-barn-mellom-0-9-%C3%A5r,""7 Mar 2026"",06:56:10,12,68.8,101"
"Voksne og eldre bør begrense stillesitting - Helsedirektoratet,https://www.helsedirektoratet.no/faglige-rad/fysisk-aktivitet-i-forebygging-og-behandling/voksne-og-eldre/voksne-og-eldre-bor-begrense-stillesitting,""7 Mar 2026"",07:10:49,12,74.4,110"
"Bildediagnostiske undersøkelser - Helsedirektoratet,https://www.helsedirektoratet.no/retningslinjer/diffuse-gliomer-hos-voksne-handlingsprogram/diagnostikk-og-utredning/bildediagnostiske-undersokelser,""7 Mar 2026"",07:12:02,12,78.7,307"
"Intensjonsavtalen for et sunnere kosthold - Helsedirektoratet,https://www.helsedirektoratet.no/rapporter/utviklingen-i-norsk-kosthold-2025/holdninger-kunnskap-og-samarbeid/intensjonsavtalen-for-et-sunnere-kosthold,""7 Mar 2026"",07:41:26,12,76.9,76"
"Trygghet for brukere og støtte til pårørende - Helsedirektoratet,https://www.helsedirektoratet.no/rapporter/bo-trygt-hjemme--arsrapport-2024/status-for-oppdrag-og-oppgaver/trygghet-for-brukere-og-stotte-til-parorende,""7 Mar 2026"",07:41:56,12,75,230"
"Rettsmedisinsk obduksjon - Helsedirektoratet,https://www.helsedirektoratet.no/veiledere/obduksjon-og-forskning-ved-dodsfall-hos-barn-informasjon-til-parorende/om-obduksjon/rettsmedisinsk-obduksjon,""7 Mar 2026"",07:43:47,12,84,60"
"Utredning og behandling i spesialisthelsetjenesten - Helsedirektoratet,https://www.helsedirektoratet.no/rapporter/utredning-av-tilbud-til-horselshemmede/dagens-organisering/utredning-og-behandling-i-spesialisthelsetjenesten,""7 Mar 2026"",07:51:17,12,75.9,87"
"Patogenese og etiologi ved non-Hodgkin B celle lymfom - Helsedirektoratet,https://www.helsedirektoratet.no/retningslinjer/lymfekreft-handlingsprogram/patogenese-og-etiologi/patogenese-og-etiologi-ved-non-hodgkin-b-celle-lymfom,""7 Mar 2026"",07:52:11,12,74.6,298"
"Reglene for helseforskning - Helsedirektoratet,https://www.helsedirektoratet.no/rundskriv/regelverket-for-utvikling-av-kunstig-intelligens/regler-for-de-ulike-prosjekttypene/reglene-for-helseforskning,""7 Mar 2026"",07:57:26,12,80.2,101"
"Fysioterapi til brystkreftopererte - Helsedirektoratet,https://www.helsedirektoratet.no/retningslinjer/brystkreft--handlingsprogram/fysioterapi-til-brystkreftopererte-kvinner/fysioterapi-til-brystkreftopererte,""7 Mar 2026"",08:08:34,12,80.1,118"
"Kirurgiske koder - Helsedirektoratet,https://www.helsedirektoratet.no/retningslinjer/brystkreft--handlingsprogram/kirurgisk-behandling-av-lokalisert-sykdom-kurativ-behandling/kirurgiske-koder,""7 Mar 2026"",08:12:27,12,81.7,208"
"Begrepsavklaringer relevant for utredningen - Helsedirektoratet,https://www.helsedirektoratet.no/rapporter/matfaglig-kompetanse-i-helse-og-omsorgstjenesten/bakgrunn-og-formal/begrepsavklaringer-relevant-for-utredningen,""7 Mar 2026"",08:09:40,12,75.3,149"
"Hjerte-lungeredning startet av tilstedeværende - Helsedirektoratet,https://www.helsedirektoratet.no/statistikk/kvalitetsindikatorer/akuttmedisinske-tjenester-utenfor-sykehus/hjerte-lunge-redning-startet-av-tilstedevarende,""7 Mar 2026"",08:08:37,12,67.6,101"
"Kurs/samlinger i utlandet - Helsedirektoratet,https://www.helsedirektoratet.no/rundskriv/folketrygdloven-kap-5/rundskriv-til-folketrygdloven--5-22--bidrag-til-spesielle-formal/kurs-samlinger-i-utlandet,""7 Mar 2026"",08:20:26,12,80.8,103"
"Steriliseringsloven av 1934 - Helsedirektoratet,https://www.helsedirektoratet.no/rapporter/rapport-om-sterilisering-2021-2023--status-og-utvikling/rettslig-grunnlag-og-praksis/steriliseringsloven-av-1934,""7 Mar 2026"",08:17:10,12,84.5,70"
"Midlertidig tjenesteyting – EØS - Helsedirektoratet,https://www.helsedirektoratet.no/autorisasjon-og-spesialistutdanning/autorisasjon-og-lisens/sok-om-autorisasjon-og-lisens/midlertidig-tjenesteyting-E%C3%98S,""7 Mar 2026"",08:32:40,12,85.9,55"
"Utredning og forankring - Helsedirektoratet,https://www.helsedirektoratet.no/veiledere/kommunale-frisklivssentraler-etablering-organisering-og-tilbud/etablering-og-organisering/utredning-og-forankring,""7 Mar 2026"",08:30:49,12,80.8,85"
"Praktisk bistand – brukerstyrt personlig assistanse (BPA) - Helsedirektoratet,https://www.helsedirektoratet.no/rapporter/kommunale-helse-og-omsorgstjenester-i-2023/utvalgte-temaer/praktisk-bistand--brukerstyrt-personlig-assistanse-bpa,""7 Mar 2026"",08:29:24,12,76.5,103"
"Tapte leveår og helsetap fordelt på sykdomsgrupper - Helsedirektoratet,https://www.helsedirektoratet.no/rapporter/samfunnskostnader-ved-sykdom-og-ulykker-2019-2021/sykdomsbyrde/tapte-levear-og-helsetap-fordelt-pa-sykdomsgrupper,""7 Mar 2026"",08:28:00,12,75.2,128"
"Reglene for kvalitetsforbedring - Helsedirektoratet,https://www.helsedirektoratet.no/rundskriv/regelverket-for-utvikling-av-kunstig-intelligens/regler-for-de-ulike-prosjekttypene/reglene-for-kvalitetsforbedring,""7 Mar 2026"",08:56:09,12,77.5,101"
"Legemiddelhåndtering - Helsedirektoratet,https://www.helsedirektoratet.no/rapporter/riktig-legemiddelbruk-og-legemiddelrelaterte-skader/rettslige-rammer-for-riktig-legemiddelbruk/legemiddelhandtering,""7 Mar 2026"",08:48:59,12,80.2,84"
"Henvisning og oppfølging av diabetiske fotsår i multidisiplinært fotsårteam - Helsedirektoratet,https://www.helsedirektoratet.no/retningslinjer/diabetes/diabetisk-fot-og-nevropati/henvisning-og-oppfolging-av-diabetiske-fotsar-i-multidisiplinaert-fotsarteam,""7 Mar 2026"",09:07:02,12,77.4,222"
"Antatt radikalt opererte - Helsedirektoratet,https://www.helsedirektoratet.no/retningslinjer/nevroendokrine-svulster-i-fordoyelsessystemet-handlingsprogram/oppfolging-og-kontroller/antatt-radikalt-opererte,""7 Mar 2026"",09:12:31,12,80.2,181"
"Nasjonal hjernehelsestrategi (2018-2024) - Helsedirektoratet,https://www.helsedirektoratet.no/rapporter/bakgrunnsrapport-til-oppdatert-hjernehelsestrategi-2025-2035/bakgrunn-og-prosess/nasjonal-hjernehelsestrategi-2018-2024,""7 Mar 2026"",09:22:13,12,83.4,82"
"Tjenestemottakere i 2024 - Helsedirektoratet,https://www.helsedirektoratet.no/rapporter/kommunale-helse-og-omsorgstjenester-2024/mottakere-av-kommunale-helse-og-omsorgstjenester-2024/tjenestemottakere-i-2024,""7 Mar 2026"",09:25:06,12,82.8,68"
"Behandling av radiære arr - Helsedirektoratet,https://www.helsedirektoratet.no/retningslinjer/brystkreft--handlingsprogram/kirurgisk-behandling-av-lokalisert-sykdom-kurativ-behandling/behandling-av-radiaere-arr,""7 Mar 2026"",09:36:29,12,80.7,168"
"Om pakkeforløp for kreft i spiserør og magesekk - Helsedirektoratet,https://www.helsedirektoratet.no/retningslinjer/kreft-i-spiseror-og-magesekk--handlingsprogram/pakkeforlop-for-kreft/om-pakkeforlop-for-kreft-i-spiseror-og-magesekk,""7 Mar 2026"",09:35:53,12,79.9,74"
"Hva er krav til innhold i en ernæringsplan og hvordan registrere? - Helsedirektoratet,https://www.helsedirektoratet.no/veiledere/registrering-av-iplos-data-i-kommunen/rapportering-av-risiko-for-underernaering/hva-er-krav-til-innhold-i-en-ernaeringsplan,""7 Mar 2026"",09:42:21,12,78.7,59"
"Pasientens journaldokumenter, Norsk helsenett - Helsedirektoratet,https://www.helsedirektoratet.no/digitalisering-og-e-helse/nasjonal-e-helseportefolje/tiltak-i-nasjonal-e-helseportefolje/pasientens-journaldokumenter-norsk-helsenett,""7 Mar 2026"",09:45:50,12,77.4,75"
"§ 7b. Nødvendig kunnskap og kompetanse hos medarbeidere - Helsedirektoratet,https://www.helsedirektoratet.no/veiledere/ledelse-og-kvalitetsforbedring-i-helse-og-omsorgstjenesten/gjennomfore/7b-nodvendig-kunnskap-og-kompetanse-hos-medarbeidere,""7 Mar 2026"",09:45:15,12,78.7,63"
"Fritekst om fødselsomsorgen - Helsedirektoratet,https://www.helsedirektoratet.no/rapporter/kvinners-erfaringer-med-svangerskaps-fodsels-og-barselomsorgen-i-norge-i-20242025/fodselsomsorgen/fritekst-om-fodselsomsorgen,""7 Mar 2026"",09:52:03,12,79.3,99"
"Tilrettelegge for en heltidskultur - Helsedirektoratet,https://www.helsedirektoratet.no/rapporter/kompetanseloft-2025--arsrapport/en-handlingsplan-for-baerekraftige-helse-og-omsorgstjenester/tilrettelegge-for-en-heltidskultur,""7 Mar 2026"",10:04:00,12,77.9,94"
"Regler om taushetsplikt - Helsedirektoratet,https://www.helsedirektoratet.no/faglige-rad/voldsrisikoutredning-ved-alvorlig-psykisk-lidelse/samarbeid-og-kommunikasjon-om-voldsrisikohandtering/regler-om-taushetsplikt,""7 Mar 2026"",10:04:38,12,79.1,112"
"Innsatsområdet helsetjenesteassosierte infeksjoner - Helsedirektoratet,https://www.helsedirektoratet.no/rapporter/statusrapport-for-pasient-og-brukersikkerhet-2024-2025/innblikk-i-innsatsomradene/innsatsomradet-helsetjenesteassosierte-infeksjoner,""7 Mar 2026"",10:37:43,12,75,127"
"Orale tilstander med risiko for somatisk sykdom - Helsedirektoratet,https://www.helsedirektoratet.no/rapporter/kunnskapsoppsummering-om-sammenhengen-mellom-den-orale-og-generelle-helse/resultater/orale-tilstander-med-risiko-for-somatisk-sykdom,""7 Mar 2026"",10:36:51,12,66.6,376"
"Støtte til å endre levevaner gir resultater - Helsedirektoratet,https://www.helsedirektoratet.no/veiledere/kommunale-frisklivssentraler-etablering-organisering-og-tilbud/hvorfor-frisklivssentraler/stotte-til-a-endre-levevaner-gir-resultater,""7 Mar 2026"",10:40:43,12,76.6,87"
"Nasjonal veileder for vanedannende legemidler - Helsedirektoratet,https://www.helsedirektoratet.no/rapporter/handlingsplan-mot-overdoser/forvaltning-og-implementering-av-nasjonale-faglige-anbefalinger/nasjonal-veileder-for-vanedannende-legemidler,""7 Mar 2026"",10:48:56,12,75.7,111"
"Kneleddsartrose - Helsedirektoratet,https://www.helsedirektoratet.no/veiledere/prioriteringsveiledere/ortopedi/tilstander-for-ortopedi/kneleddsartrose,""7 Mar 2026"",01:08:25,12,80.7,144"
"Herpes zoster (S70) - Helsedirektoratet,https://www.helsedirektoratet.no/veiledere/sykmelderveileder/diagnosespesifikke-anbefalinger-for-sykmelding/hud-s/herpes-zoster-s70,""7 Mar 2026"",03:41:47,12,83.3,76"
"Schizofreni (P72) - Helsedirektoratet,https://www.helsedirektoratet.no/veiledere/sykmelderveileder/diagnosespesifikke-anbefalinger-for-sykmelding/psykisk-p/schizofreni-p72,""7 Mar 2026"",04:07:26,12,82.2,85"
"Proliferative tilstander - Helsedirektoratet,https://www.helsedirektoratet.no/veiledere/prioriteringsveiledere/blodsykdommer/tilstander-for-blodsykdommer/proliferative-tilstander,""7 Mar 2026"",04:10:50,12,80.6,103"
"Vismut - Helsedirektoratet,https://www.helsedirektoratet.no/rundskriv/kapittel-5-stonad-ved-helsetjenester/vedlegg-1-til--5-14-legemiddellisten/virkestoffer/vismut,""7 Mar 2026"",04:44:03,12,74.5,76"
"Hodepine (N01) - Helsedirektoratet,https://www.helsedirektoratet.no/veiledere/sykmelderveileder/diagnosespesifikke-anbefalinger-for-sykmelding/nervesystemet-n/hodepine-n01,""7 Mar 2026"",04:44:24,12,82.7,88"
